"Antibody","Virus","Study","IC50 (ug/mL)"
"VRC01/PGDM1400-10E8v4","6405_V4_C34","Xu2017","4.08"
"N6/10E8v4-PGDM1400","6471_V1_C16","Xu2017",">50"
"N6/PGDM1400-10E8v4","6471_V1_C16","Xu2017",">50"
"VRC01/PGDM1400-10E8v4","6471_V1_C16","Xu2017",">50"
"10E8/N6","6480_V4_C25","Khan2018_dataset1","0.1566"
"10E8/PGDM1400/PRO-140","6480_V4_C25","Khan2018_dataset1","0.018"
"10E8/PGT121/PGDM1400.V1","6480_V4_C25","Khan2018_dataset2","0.072"
"10E8/PGT121/PGDM1400.V2","6480_V4_C25","Khan2018_dataset2","0.128"
"10E8/PGT121/PGDM1400.V3","6480_V4_C25","Khan2018_dataset2","0.069"
"10E8/PGT121/PGDM1400.V4","6480_V4_C25","Khan2018_dataset2","0.037"
"10E8/PGT121/PGDM1400.V5","6480_V4_C25","Khan2018_dataset2","0.066"
"10E8/PGT121/PGDM1400.V6","6480_V4_C25","Khan2018_dataset2","0.056"
"10E8/PGT121/PGDM1400.V7","6480_V4_C25","Khan2018_dataset2","0.063"
"10E8/PGT121/PGDM1400.V8","6480_V4_C25","Khan2018_dataset1","0.0021"
"10E8/PGT121/PGDM1400.V8","6480_V4_C25","Khan2018_dataset3","0.0081"
"10E8/PGT121/PGDM1400.V8","6480_V4_C25","Khan2018_dataset2","0.026"
"10E8/PGT121/PGDM1400.V8Fc","6480_V4_C25","Khan2018_dataset3","0.0293"
"10E8/PGT121/PGDM1400.V8LL","6480_V4_C25","Khan2018_dataset3","0.0073"
"10E8V1.1/P140","6480_V4_C25","Huang2016","0.003"
"10E8V2.0/iMab","6480_V4_C25","Huang2016","0.002"
"3BNC117/10-1074","6480_V4_C25","Bournazos2016_dataset1","0.034"
"3BNC117/10-1074-IgG3C","6480_V4_C25","Bournazos2016_dataset1","0.014"
"3BNC117/PGT135-IgG3C","6480_V4_C25","Bournazos2016_dataset1","0.012"
"8ANC195/PGT128-IgG3C","6480_V4_C25","Bournazos2016_dataset1","0.02"
"M36/PRO-140","6480_V4_C25","Khan2018_dataset1","0.0032"
"PG16/PGT121","6480_V4_C25","Bournazos2016_dataset1","1.846"
"PG16/PGT128","6480_V4_C25","Bournazos2016_dataset1","7.987"
"PGDM1400/PRO-140","6480_V4_C25","Khan2018_dataset1","0.883"
"PGT151/10-1074-IgG3C","6480_V4_C25","Bournazos2016_dataset1","0.035"
"PGT151/35O22","6480_V4_C25","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","6480_V4_C25","Khan2018_dataset1","0.012"
"RoAb13/PGDM1400/PGT121","6480_V4_C25","Khan2018_dataset1","0.0571"
"10E8/N6","6535_3","Khan2018_dataset1","0.0646"
"10E8/PGDM1400/PRO-140","6535_3","Khan2018_dataset1","0.005"
"10E8/PGT121/PGDM1400.V8","6535_3","Khan2018_dataset1","0.0007"
"10E8V1.1/P140","6535_3","Huang2016","0.002"
"10E8V2.0/iMab","6535_3","Huang2016","0.004"
"3BNC117/10-1074","6535_3","Bournazos2016_dataset1","0.083"
"3BNC117/10-1074-IgG3C","6535_3","Bournazos2016_dataset1","0.015"
"3BNC117/PGT135-IgG3C","6535_3","Bournazos2016_dataset1","0.051"
"8ANC195/PGT128-IgG3C","6535_3","Bournazos2016_dataset1","0.008"
"M36/PRO-140","6535_3","Khan2018_dataset1","0.0174"
"N6/10E8v4-PGDM1400","6535_3","Xu2017","0.026"
"N6/PGDM1400-10E8v4","6535_3","Xu2017","0.006"
"PG16/PGT121","6535_3","Bournazos2016_dataset1","1.333"
"PG16/PGT128","6535_3","Bournazos2016_dataset1","1.288"
"PGDM1400/PRO-140","6535_3","Khan2018_dataset1","1.38"
"PGT151/10-1074-IgG3C","6535_3","Bournazos2016_dataset1","0.003"
"PGT151/35O22","6535_3","Bournazos2016_dataset1","0.02"
"PRO-140/PGDM1400/PGT121","6535_3","Khan2018_dataset1","0.006"
"RoAb13/PGDM1400/PGT121","6535_3","Khan2018_dataset1","0.0158"
"VRC01/PGDM1400-10E8v4","6535_3","Xu2017","0.027"
"10E8/N6","6540_V4_C1","Khan2018_dataset1","0.0773"
"10E8/PGDM1400/PRO-140","6540_V4_C1","Khan2018_dataset1","0.012"
"10E8/PGT121/PGDM1400.V1","6540_V4_C1","Khan2018_dataset2","0.645"
"10E8/PGT121/PGDM1400.V2","6540_V4_C1","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V3","6540_V4_C1","Khan2018_dataset2","0.207"
"10E8/PGT121/PGDM1400.V4","6540_V4_C1","Khan2018_dataset2","0.982"
"10E8/PGT121/PGDM1400.V5","6540_V4_C1","Khan2018_dataset2","0.188"
"10E8/PGT121/PGDM1400.V6","6540_V4_C1","Khan2018_dataset2","0.808"
"10E8/PGT121/PGDM1400.V7","6540_V4_C1","Khan2018_dataset2","0.648"
"10E8/PGT121/PGDM1400.V8","6540_V4_C1","Khan2018_dataset1","0.0317"
"10E8/PGT121/PGDM1400.V8","6540_V4_C1","Khan2018_dataset3","0.1057"
"10E8/PGT121/PGDM1400.V8","6540_V4_C1","Khan2018_dataset2","0.216"
"10E8/PGT121/PGDM1400.V8Fc","6540_V4_C1","Khan2018_dataset3","0.0554"
"10E8/PGT121/PGDM1400.V8LL","6540_V4_C1","Khan2018_dataset3","0.0376"
"10E8V1.1/P140","6540_V4_C1","Huang2016","0.003"
"10E8V2.0/iMab","6540_V4_C1","Huang2016","0.002"
"3BNC117/10-1074","6540_V4_C1","Bournazos2016_dataset1",">20"
"3BNC117/10-1074-IgG3C","6540_V4_C1","Bournazos2016_dataset1",">20"
"3BNC117/PGT135-IgG3C","6540_V4_C1","Bournazos2016_dataset1","29.598"
"8ANC195/PGT128-IgG3C","6540_V4_C1","Bournazos2016_dataset1","0.257"
"M36/PRO-140","6540_V4_C1","Khan2018_dataset1","0.0148"
"N6/10E8v4-PGDM1400","6540_V4_C1","Xu2017","0.011"
"N6/PGDM1400-10E8v4","6540_V4_C1","Xu2017","0.007"
"PG16/10-1074","6540_V4_C1","Bournazos2016_dataset1","0.258"
"PG16/PGT121","6540_V4_C1","Bournazos2016_dataset1","0.03"
"PG16/PGT128","6540_V4_C1","Bournazos2016_dataset1","0.029"
"PGDM1400/PRO-140","6540_V4_C1","Khan2018_dataset1","0.006"
"PGT151/10-1074-IgG3C","6540_V4_C1","Bournazos2016_dataset1","0.022"
"PGT151/35O22","6540_V4_C1","Bournazos2016_dataset1","0.065"
"PRO-140/PGDM1400/PGT121","6540_V4_C1","Khan2018_dataset1","0.032"
"RoAb13/PGDM1400/PGT121","6540_V4_C1","Khan2018_dataset1","0.2359"
"VRC01/PGDM1400-10E8v4","6540_V4_C1","Xu2017","0.02"
"10E8/N6","6545_V4_C1","Khan2018_dataset1","0.2339"
"10E8/PGDM1400/PRO-140","6545_V4_C1","Khan2018_dataset1","0.011"
"10E8/PGT121/PGDM1400.V8","6545_V4_C1","Khan2018_dataset1","0.085"
"10E8V1.1/P140","6545_V4_C1","Huang2016","0.005"
"10E8V2.0/iMab","6545_V4_C1","Huang2016","0.002"
"3BNC117/10-1074","6545_V4_C1","Bournazos2016_dataset1",">20"
"3BNC117/10-1074-IgG3C","6545_V4_C1","Bournazos2016_dataset1",">20"
"3BNC117/PGT135-IgG3C","6545_V4_C1","Bournazos2016_dataset1",">30"
"8ANC195/PGT128-IgG3C","6545_V4_C1","Bournazos2016_dataset1",">30"
"M36/PRO-140","6545_V4_C1","Khan2018_dataset1","0.0074"
"N6/10E8v4-PGDM1400","6545_V4_C1","Xu2017","0.012"
"N6/PGDM1400-10E8v4","6545_V4_C1","Xu2017","0.007"
"PG16/PGT121","6545_V4_C1","Bournazos2016_dataset1","0.205"
"PG16/PGT128","6545_V4_C1","Bournazos2016_dataset1","0.135"
"PGDM1400/PRO-140","6545_V4_C1","Khan2018_dataset1","0.0117"
"PGT151/10-1074-IgG3C","6545_V4_C1","Bournazos2016_dataset1","0.02"
"PGT151/35O22","6545_V4_C1","Bournazos2016_dataset1","0.062"
"PRO-140/PGDM1400/PGT121","6545_V4_C1","Khan2018_dataset1","0.024"
"RoAb13/PGDM1400/PGT121","6545_V4_C1","Khan2018_dataset1","0.1775"
"VRC01/PGDM1400-10E8v4","6545_V4_C1","Xu2017","0.013"
"10E8V2.0/iMab","6592_V7_C25","Wagh2018","0.01"
"3BNC117/PGT135-IgG3C","6592_V7_C25","Wagh2018","0.03"
"N6/10E8v4-PGDM1400","6631_V3_C10","Xu2017","0.839"
"N6/PGDM1400-10E8v4","6631_V3_C10","Xu2017","0.51"
"VRC01/PGDM1400-10E8v4","6631_V3_C10","Xu2017",">50"
"N6/10E8v4-PGDM1400","6644_V2_C33","Xu2017","0.029"
"N6/PGDM1400-10E8v4","6644_V2_C33","Xu2017","0.012"
"VRC01/PGDM1400-10E8v4","6644_V2_C33","Xu2017","0.016"
"N6/10E8v4-PGDM1400","6785_V5_C14","Xu2017","0.02"
"N6/PGDM1400-10E8v4","6785_V5_C14","Xu2017","0.015"
"VRC01/PGDM1400-10E8v4","6785_V5_C14","Xu2017","0.003"
"10E8/N6","6811_V7_C18","Khan2018_dataset1","0.3206"
"10E8/PGDM1400/PRO-140","6811_V7_C18","Khan2018_dataset1","0.037"
"10E8/PGT121/PGDM1400.V1","6811_V7_C18","Khan2018_dataset2","0.479"
"10E8/PGT121/PGDM1400.V2","6811_V7_C18","Khan2018_dataset2","0.634"
"10E8/PGT121/PGDM1400.V3","6811_V7_C18","Khan2018_dataset2","0.466"
"10E8/PGT121/PGDM1400.V4","6811_V7_C18","Khan2018_dataset2","0.467"
"10E8/PGT121/PGDM1400.V5","6811_V7_C18","Khan2018_dataset2","0.457"
"10E8/PGT121/PGDM1400.V6","6811_V7_C18","Khan2018_dataset2","0.532"
"10E8/PGT121/PGDM1400.V7","6811_V7_C18","Khan2018_dataset2","0.477"
"10E8/PGT121/PGDM1400.V8","6811_V7_C18","Khan2018_dataset1","0.0071"
"10E8/PGT121/PGDM1400.V8","6811_V7_C18","Khan2018_dataset3","0.029"
"10E8/PGT121/PGDM1400.V8","6811_V7_C18","Khan2018_dataset2","0.35"
"10E8/PGT121/PGDM1400.V8Fc","6811_V7_C18","Khan2018_dataset3","0.3993"
"10E8V1.1/P140","6811_V7_C18","Huang2016","0.003"
"10E8V2.0/iMab","6811_V7_C18","Huang2016","0.004"
"3BNC117/10-1074","6811_V7_C18","Bournazos2016_dataset1","0.029"
"3BNC117/10-1074-IgG3C","6811_V7_C18","Bournazos2016_dataset1","0.009"
"3BNC117/PGT135-IgG3C","6811_V7_C18","Bournazos2016_dataset1","0.018"
"8ANC195/PGT128-IgG3C","6811_V7_C18","Bournazos2016_dataset1","0.016"
"M36/PRO-140","6811_V7_C18","Khan2018_dataset1","0.0082"
"PG16/PGT121","6811_V7_C18","Bournazos2016_dataset1","1.227"
"PG16/PGT128","6811_V7_C18","Bournazos2016_dataset1",">40"
"PGDM1400/PRO-140","6811_V7_C18","Khan2018_dataset1","1.96"
"PGT151/10-1074-IgG3C","6811_V7_C18","Bournazos2016_dataset1","0.005"
"PGT151/35O22","6811_V7_C18","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","6811_V7_C18","Khan2018_dataset1","0.011"
"RoAb13/PGDM1400/PGT121","6811_V7_C18","Khan2018_dataset1","0.047"
"N6/10E8v4-PGDM1400","6838_V1_C35","Xu2017","0.038"
"N6/PGDM1400-10E8v4","6838_V1_C35","Xu2017","0.013"
"VRC01/PGDM1400-10E8v4","6838_V1_C35","Xu2017","0.012"
"10E8/N6","6952_V1_C20","Khan2018_dataset1","0.002"
"10E8/PGDM1400/PRO-140","6952_V1_C20","Khan2018_dataset1","0.006"
"10E8/PGT121/PGDM1400.V8","6952_V1_C20","Khan2018_dataset1","0.0009"
"10E8V1.1/P140","6952_V1_C20","Huang2016","0.002"
"10E8V2.0/iMab","6952_V1_C20","Huang2016","0.001"
"3BNC117/10-1074","6952_V1_C20","Bournazos2016_dataset1","0.251"
"3BNC117/10-1074-IgG3C","6952_V1_C20","Bournazos2016_dataset1","0.073"
"3BNC117/PGT135-IgG3C","6952_V1_C20","Bournazos2016_dataset1","0.044"
"8ANC195/PGT128-IgG3C","6952_V1_C20","Bournazos2016_dataset1","0.5"
"M36/PRO-140","6952_V1_C20","Khan2018_dataset1","0.0014"
"PG16/10-1074","6952_V1_C20","Bournazos2016_dataset1","0.067"
"PG16/PGT121","6952_V1_C20","Bournazos2016_dataset1","1.797"
"PG16/PGT128","6952_V1_C20","Bournazos2016_dataset1","36.091"
"PGDM1400/PRO-140","6952_V1_C20","Khan2018_dataset1","0.0167"
"PGT151/10-1074-IgG3C","6952_V1_C20","Bournazos2016_dataset1","0.043"
"PGT151/35O22","6952_V1_C20","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","6952_V1_C20","Khan2018_dataset1","0.011"
"RoAb13/PGDM1400/PGT121","6952_V1_C20","Khan2018_dataset1","0.1239"
"10E8/N6","703010054_2A2","Khan2018_dataset1","0.5943"
"10E8/PGDM1400/PRO-140","703010054_2A2","Khan2018_dataset1","0.009"
"10E8/PGT121/PGDM1400.V8","703010054_2A2","Khan2018_dataset1","0.0181"
"10E8V1.1/P140","703010054_2A2","Huang2016","0.001"
"10E8V2.0/iMab","703010054_2A2","Huang2016","0.0004"
"3BNC117/10-1074","703010054_2A2","Bournazos2016_dataset1","1.71"
"3BNC117/10-1074-IgG3C","703010054_2A2","Bournazos2016_dataset1","0.625"
"3BNC117/PGT135-IgG3C","703010054_2A2","Bournazos2016_dataset1","0.029"
"8ANC195/PGT128-IgG3C","703010054_2A2","Bournazos2016_dataset1","9.749"
"M36/PRO-140","703010054_2A2","Khan2018_dataset1","0.0014"
"PG16/PGT121","703010054_2A2","Bournazos2016_dataset1","0.036"
"PG16/PGT128","703010054_2A2","Bournazos2016_dataset1","0.029"
"PGDM1400/PRO-140","703010054_2A2","Khan2018_dataset1","0.0058"
"PGT151/10-1074-IgG3C","703010054_2A2","Bournazos2016_dataset1","0.051"
"PGT151/35O22","703010054_2A2","Bournazos2016_dataset1","0.137"
"PRO-140/PGDM1400/PGT121","703010054_2A2","Khan2018_dataset1","0.105"
"RoAb13/PGDM1400/PGT121","703010054_2A2","Khan2018_dataset1","0.122"
"10E8/N6","703010200_1E5","Khan2018_dataset1","0.6041"
"10E8/PGDM1400/PRO-140","703010200_1E5","Khan2018_dataset1","0.016"
"10E8/PGT121/PGDM1400.V8","703010200_1E5","Khan2018_dataset1","0.0107"
"10E8V1.1/P140","703010200_1E5","Huang2016","0.007"
"10E8V2.0/iMab","703010200_1E5","Huang2016","0.004"
"3BNC117/10-1074","703010200_1E5","Bournazos2016_dataset1","0.127"
"3BNC117/10-1074-IgG3C","703010200_1E5","Bournazos2016_dataset1","0.033"
"3BNC117/PGT135-IgG3C","703010200_1E5","Bournazos2016_dataset1","0.047"
"8ANC195/PGT128-IgG3C","703010200_1E5","Bournazos2016_dataset1","0.011"
"M36/PRO-140","703010200_1E5","Khan2018_dataset1","0.007"
"PG16/PGT121","703010200_1E5","Bournazos2016_dataset1","4.466"
"PG16/PGT128","703010200_1E5","Bournazos2016_dataset1",">40"
"PGDM1400/PRO-140","703010200_1E5","Khan2018_dataset1","1.67"
"PGT151/10-1074-IgG3C","703010200_1E5","Bournazos2016_dataset1","0.006"
"PGT151/35O22","703010200_1E5","Bournazos2016_dataset1","0.032"
"PRO-140/PGDM1400/PGT121","703010200_1E5","Khan2018_dataset1","0.041"
"RoAb13/PGDM1400/PGT121","703010200_1E5","Khan2018_dataset1","0.1319"
"N6/10E8v4-PGDM1400","703010217_B6","Xu2017","0.007"
"N6/PGDM1400-10E8v4","703010217_B6","Xu2017","0.005"
"VRC01/PGDM1400-10E8v4","703010217_B6","Xu2017","0.017"
"10E8V1.1/P140","703357_C2","Huang2016","0.001"
"10E8V2.0/iMab","703357_C2","Huang2016","0.001"
"10E8/N6","704809221_1B3","Khan2018_dataset1","0.0649"
"10E8/PGDM1400/PRO-140","704809221_1B3","Khan2018_dataset1","1.638"
"10E8/PGT121/PGDM1400.V8","704809221_1B3","Khan2018_dataset1","0.0307"
"10E8V1.1/P140","704809221_1B3","Huang2016","0.001"
"10E8V2.0/iMab","704809221_1B3","Huang2016","0.006"
"3BNC117/10-1074","704809221_1B3","Bournazos2016_dataset1","0.357"
"3BNC117/10-1074-IgG3C","704809221_1B3","Bournazos2016_dataset1","0.068"
"3BNC117/PGT135-IgG3C","704809221_1B3","Bournazos2016_dataset1","0.027"
"8ANC195/PGT128-IgG3C","704809221_1B3","Bournazos2016_dataset1","0.024"
"M36/PRO-140","704809221_1B3","Khan2018_dataset1","1.596"
"PG16/PGT121","704809221_1B3","Bournazos2016_dataset1","0.033"
"PG16/PGT128","704809221_1B3","Bournazos2016_dataset1","0.027"
"PGDM1400/PRO-140","704809221_1B3","Khan2018_dataset1","0.0591"
"PGT151/10-1074-IgG3C","704809221_1B3","Bournazos2016_dataset1","0.192"
"PGT151/35O22","704809221_1B3","Bournazos2016_dataset1","2.46"
"PRO-140/PGDM1400/PGT121","704809221_1B3","Khan2018_dataset1","0.016"
"RoAb13/PGDM1400/PGT121","704809221_1B3","Khan2018_dataset1","0.2936"
"N6/10E8v4-PGDM1400","7165_18","Xu2017","0.356"
"N6/PGDM1400-10E8v4","7165_18","Xu2017","0.21"
"VRC01/PGDM1400-10E8v4","7165_18","Xu2017","2.22"
"10E8V2.0/iMab","783_V0_C51","Wagh2018","0.002"
"3BNC117/PGT135-IgG3C","783_V0_C51","Wagh2018","0.04"
"10E8V2.0/iMab","851891_4_15","Wagh2018","1.263"
"3BNC117/PGT135-IgG3C","851891_4_15","Wagh2018","0.009"
"N6/10E8v4-PGDM1400","89_6","Xu2017","0.027"
"N6/PGDM1400-10E8v4","89_6","Xu2017","0.009"
"VRC01/PGDM1400-10E8v4","89_6","Xu2017","0.569"
"10E8/N6","89_F1_2_25","Khan2018_dataset1","1.005"
"10E8/PGDM1400/PRO-140","89_F1_2_25","Khan2018_dataset1","0.007"
"10E8/PGT121/PGDM1400.V1","89_F1_2_25","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V2","89_F1_2_25","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V3","89_F1_2_25","Khan2018_dataset2","0.478"
"10E8/PGT121/PGDM1400.V4","89_F1_2_25","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V5","89_F1_2_25","Khan2018_dataset2","0.67"
"10E8/PGT121/PGDM1400.V6","89_F1_2_25","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V7","89_F1_2_25","Khan2018_dataset2","0.82"
"10E8/PGT121/PGDM1400.V8","89_F1_2_25","Khan2018_dataset1","0.0073"
"10E8/PGT121/PGDM1400.V8","89_F1_2_25","Khan2018_dataset3","0.0724"
"10E8/PGT121/PGDM1400.V8","89_F1_2_25","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V8Fc","89_F1_2_25","Khan2018_dataset3","0.027"
"10E8/PGT121/PGDM1400.V8LL","89_F1_2_25","Khan2018_dataset3","0.0356"
"10E8V1.1/P140","89_F1_2_25","Huang2016","0.004"
"10E8V2.0/iMab","89_F1_2_25","Huang2016","0.001"
"3BNC117/10-1074","89_F1_2_25","Bournazos2016_dataset1",">20"
"3BNC117/10-1074-IgG3C","89_F1_2_25","Bournazos2016_dataset1",">20"
"3BNC117/PGT135-IgG3C","89_F1_2_25","Bournazos2016_dataset1",">30"
"8ANC195/PGT128-IgG3C","89_F1_2_25","Bournazos2016_dataset1",">30"
"M36/PRO-140","89_F1_2_25","Khan2018_dataset1","0.015"
"PG16/PGT121","89_F1_2_25","Bournazos2016_dataset1",">40"
"PG16/PGT128","89_F1_2_25","Bournazos2016_dataset1",">40"
"PGDM1400/PRO-140","89_F1_2_25","Khan2018_dataset1","0.0107"
"PGT151/10-1074-IgG3C","89_F1_2_25","Bournazos2016_dataset1",">30"
"PGT151/35O22","89_F1_2_25","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","89_F1_2_25","Khan2018_dataset1","0.045"
"RoAb13/PGDM1400/PGT121","89_F1_2_25","Khan2018_dataset1","0.0763"
"10E8V1.1/P140","9004SS_A3_4","Huang2016","0.01"
"10E8V2.0/iMab","9004SS_A3_4","Huang2016","0.03"
"10E8V2.0/iMab","9004SS_A3_4","Wagh2018","0.03"
"3BNC117/10-1074","9004SS_A3_4","Bournazos2016_dataset1","0.068"
"3BNC117/10-1074-IgG3C","9004SS_A3_4","Bournazos2016_dataset1","0.03"
"3BNC117/PGT135-IgG3C","9004SS_A3_4","Wagh2018","0.014"
"3BNC117/PGT135-IgG3C","9004SS_A3_4","Bournazos2016_dataset1","0.937"
"8ANC195/PGT128-IgG3C","9004SS_A3_4","Bournazos2016_dataset1","0.019"
"PG16/PGT121","9004SS_A3_4","Bournazos2016_dataset1","0.026"
"PG16/PGT128","9004SS_A3_4","Bournazos2016_dataset1","0.035"
"PGT151/10-1074-IgG3C","9004SS_A3_4","Bournazos2016_dataset1","0.011"
"PGT151/35O22","9004SS_A3_4","Bournazos2016_dataset1","0.051"
"10E8V2.0/iMab","9009SA_A4_2","Wagh2018","0.002"
"3BNC117/PGT135-IgG3C","9009SA_A4_2","Wagh2018","0.066"
"10E8/N6","928_28","Khan2018_dataset1","0.0175"
"10E8/PGDM1400/PRO-140","928_28","Khan2018_dataset1","0.007"
"10E8/PGT121/PGDM1400.V8","928_28","Khan2018_dataset1","0.0132"
"10E8V1.1/P140","928_28","Huang2016","0.002"
"10E8V2.0/iMab","928_28","Huang2016","0.001"
"3BNC117/10-1074","928_28","Bournazos2016_dataset1","0.424"
"3BNC117/10-1074-IgG3C","928_28","Bournazos2016_dataset1","0.338"
"3BNC117/PGT135-IgG3C","928_28","Bournazos2016_dataset1","0.038"
"8ANC195/PGT128-IgG3C","928_28","Bournazos2016_dataset1",">30"
"M36/PRO-140","928_28","Khan2018_dataset1","0.0153"
"N6/10E8v4-PGDM1400","928_28","Xu2017","0.093"
"N6/PGDM1400-10E8v4","928_28","Xu2017","0.037"
"PG16/PGT121","928_28","Bournazos2016_dataset1","0.09"
"PG16/PGT128","928_28","Bournazos2016_dataset1","0.111"
"PGDM1400/PRO-140","928_28","Khan2018_dataset1","0.0214"
"PGT151/10-1074-IgG3C","928_28","Bournazos2016_dataset1","0.164"
"PGT151/35O22","928_28","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","928_28","Khan2018_dataset1","0.096"
"RoAb13/PGDM1400/PGT121","928_28","Khan2018_dataset1","0.0442"
"VRC01/PGDM1400-10E8v4","928_28","Xu2017","0.031"
"N6/10E8v4-PGDM1400","92BR025_9","Xu2017","0.01"
"N6/PGDM1400-10E8v4","92BR025_9","Xu2017","0.006"
"VRC01/PGDM1400-10E8v4","92BR025_9","Xu2017","0.018"
"10E8-0fH/0fL","92RW020_2","Georgiev2014","8.99"
"10E8-0fH/4fL","92RW020_2","Georgiev2014","2.4"
"10E8-10fH/10fL","92RW020_2","Georgiev2014","2.51"
"10E8-10fH/16fL","92RW020_2","Georgiev2014","1.34"
"10E8-10fH/4fL","92RW020_2","Georgiev2014","8.09"
"10E8-19fH/10fL","92RW020_2","Georgiev2014","1.49"
"10E8-19fH/16fL","92RW020_2","Georgiev2014","1.05"
"10E8-2fH/0fL","92RW020_2","Georgiev2014","22.1"
"10E8-2fH/10fL","92RW020_2","Georgiev2014","2.49"
"10E8-2fH/4fL","92RW020_2","Georgiev2014",">50"
"10E8V2.0/iMab","92RW020_2","Wagh2018","0.003"
"3BNC117/PGT135-IgG3C","92RW020_2","Wagh2018","0.008"
"N6/10E8v4-PGDM1400","92RW020_2","Xu2017","0.042"
"N6/PGDM1400-10E8v4","92RW020_2","Xu2017","0.023"
"VRC01-0fH/0fL","92RW020_2","Georgiev2014",">50"
"VRC01-30fH/10fL","92RW020_2","Georgiev2014","0.082"
"VRC01-30fH/19fL","92RW020_2","Georgiev2014","0.182"
"VRC01-5fH/0fL","92RW020_2","Georgiev2014",">50"
"VRC01-5fH/10fL","92RW020_2","Georgiev2014","0.388"
"VRC01-5fH/6fL","92RW020_2","Georgiev2014","0.339"
"VRC01-8fH/10fL","92RW020_2","Georgiev2014","0.492"
"VRC01-8fH/19fL","92RW020_2","Georgiev2014","0.88"
"VRC01-8fH/6fL","92RW020_2","Georgiev2014","1.12"
"VRC01/PGDM1400-10E8v4","92RW020_2","Xu2017","0.007"
"10E8V2.0/iMab","93UG065","Wagh2018","0.0001"
"3BNC117/PGT135-IgG3C","93UG065","Wagh2018","0.329"
"N6/10E8v4-PGDM1400","96ZM651_02","Xu2017","0.109"
"N6/PGDM1400-10E8v4","96ZM651_02","Xu2017","0.043"
"VRC01/PGDM1400-10E8v4","96ZM651_02","Xu2017","0.085"
"10E8V2.0/iMab","A03349M1_VRC4A","Wagh2018","<0.0001"
"3BNC117/PGT135-IgG3C","A03349M1_VRC4A","Wagh2018","0.113"
"N6/10E8v4-PGDM1400","A03349M1_VRC4A","Xu2017","0.344"
"N6/PGDM1400-10E8v4","A03349M1_VRC4A","Xu2017","0.157"
"VRC01/PGDM1400-10E8v4","A03349M1_VRC4A","Xu2017","0.213"
"10E8/N6","A07412M1_VRC12","Khan2018_dataset1","0.0078"
"10E8/PGDM1400/PRO-140","A07412M1_VRC12","Khan2018_dataset1","0.005"
"10E8/PGT121/PGDM1400.V8","A07412M1_VRC12","Khan2018_dataset1","0.1556"
"10E8V1.1/P140","A07412M1_VRC12","Huang2016","0.0002"
"10E8V2.0/iMab","A07412M1_VRC12","Huang2016","0.0002"
"10E8V2.0/iMab","A07412M1_VRC12","Wagh2018","0.0002"
"3BNC117/10-1074","A07412M1_VRC12","Bournazos2016_dataset1","0.104"
"3BNC117/10-1074-IgG3C","A07412M1_VRC12","Bournazos2016_dataset1","0.041"
"3BNC117/PGT135-IgG3C","A07412M1_VRC12","Bournazos2016_dataset1","0.017"
"3BNC117/PGT135-IgG3C","A07412M1_VRC12","Wagh2018","0.017"
"8ANC195/PGT128-IgG3C","A07412M1_VRC12","Bournazos2016_dataset1","0.125"
"M36/PRO-140","A07412M1_VRC12","Khan2018_dataset1","0.0051"
"N6/10E8v4-PGDM1400","A07412M1_VRC12","Xu2017","0.052"
"N6/PGDM1400-10E8v4","A07412M1_VRC12","Xu2017","0.018"
"PG16/PGT121","A07412M1_VRC12","Bournazos2016_dataset1","1.958"
"PG16/PGT128","A07412M1_VRC12","Bournazos2016_dataset1","2.317"
"PGDM1400/PRO-140","A07412M1_VRC12","Khan2018_dataset1","0.0283"
"PGT151/10-1074-IgG3C","A07412M1_VRC12","Bournazos2016_dataset1","0.024"
"PGT151/35O22","A07412M1_VRC12","Bournazos2016_dataset1","6.11"
"PRO-140/PGDM1400/PGT121","A07412M1_VRC12","Khan2018_dataset1","0.009"
"RoAb13/PGDM1400/PGT121","A07412M1_VRC12","Khan2018_dataset1","0.7723"
"VRC01/PGDM1400-10E8v4","A07412M1_VRC12","Xu2017","0.007"
"10E8V2.0/iMab","A08483M1_VRC9","Wagh2018","0.003"
"3BNC117/PGT135-IgG3C","A08483M1_VRC9","Wagh2018","0.026"
"10E8/N6","AC10_29","Khan2018_dataset1","0.0725"
"10E8/PGT121/PGDM1400.V8","AC10_29","Khan2018_dataset1","0.0434"
"10E8V1.1/P140","AC10_29","Huang2016","0.002"
"10E8V2.0/iMab","AC10_29","Huang2016","0.001"
"3BNC117/10-1074","AC10_29","Bournazos2016_dataset1","0.248"
"3BNC117/10-1074-IgG3C","AC10_29","Bournazos2016_dataset1","0.051"
