Serum,001428_2_42,00836_2_5,16055_2_3,16936_2_21,246_F3_C10_2,25710_2_43,25711_2_4,25925_2_22,398_F1_F6_20,620345_C1,6535_3,703010217_B6,92BR020,92RW009,92RW020_2,92TH021,93IN905,94UG103,AC10_29,BAL_01,BG505_W6M_A5_T332N,BJ613_E1,BJOX002000_03_2,CAAN5342,CAP210_E8,CAP244_D3,CAP256_SU,CAP45_G3,CE1176_A3,CH119_10,CNE55,CNE8,DU156_12,DU172_17,DU422_1,JRCSF,JRFL,PVO_4,Q168_A2,Q23_17,Q259_17,Q461_E2,Q769_D22,Q842_D12,QH0692_42,R1166_C1,REJO4541_67,RHPA4259_7,SC422_8,SF162,T250_4,T251_18,T278_50,THRO4156,TRJO4551_58,TRO_11,UG024_2,UG037_8,WITO4160_33,X1632_S2_B10,X2278_C2_B6,YU2,ZA012_29,ZM109_32,ZM109_4,ZM135_10A,ZM197_7,ZM214_15,ZM233_6,ZM249_1,ZM53_12
Polyclonal AIIMS_330 112-months,3.37015953025782,2.582555977851972,3.3683274568796824,3.044203250320626,2.734355139810094,3.355701339919821,2.9040553905733137,3.4039448866150286,3.173137793634429,1.6069174749568873,3.0923603717876125,2.9742791358980094,2.4146729562898264,2.0044317586468257,2.8917958975432256,2.3876961152236733,3.2345253586685203,2.375037488555692,1.656215989537547,3.5439764084457197,2.7412587378278177,3.2316248226153794,2.83475419966625,2.4699476062482577,1.3567374350813037,1.8741474970460072,2.8993431417764626,1.4955242715032526,2.689289369613139,2.598222103006588,3.176043755832678,2.5601917167086654,3.473532660823264,2.3969728954215013,2.624275239309844,3.1638197241964585,2.8759542168125654,2.790436915010642,2.979939069266959,2.8706599132886064,1.7523945414196802,2.595476189035301,1.9162536428411383,2.929439144221705,1.608087009907994,2.345822785237041,1.900782621025043,3.2342136922578737,2.970615802597065,3.603587310209904,2.6762084752213076,1.751809968360694,1.8322805282790793,1.8994146119118853,2.5915110685574927,3.0268421977683104,1.7530337136202336,2.826919037607891,1.502053776403749,2.6454499870529267,3.2086404451652983,1.939039779436642,2.712163004407241,2.9429834011167575,2.1545237010205693,1.0881557218813738,2.8852051568811534,2.6896203716400526,2.0872210793512007,2.3661187442740044,2.3987886762868253
Polyclonal AIIMS_330 117-months,3.3019274446169335,2.4661087473632683,3.2480183639158815,3.040285876464093,2.8616822380204505,3.354229000590906,3.0831358430198046,3.26555787953654,3.1646559691383365,2.0347076217537228,3.022554737212884,3.010202841436991,2.453610821118551,2.186786437916142,3.0773024920066314,2.3630463130735517,3.212864376119592,2.551296468571029,2.0301281525331705,3.7898278532667566,3.0870455563103505,3.19215159312457,2.997367336978911,2.6446197763743617,1.518743300711408,2.1488090265831348,3.0272183876300387,2.3834435812507415,2.762187018576374,2.6135025047862985,3.20121832887488,2.6097674405044655,3.3514777332329686,2.724116446324045,2.837830684865943,2.8498260802097732,2.616246432648005,2.96615452275884,2.925154937572607,2.852558009604201,1.9414775600909668,2.782003318783392,2.056393903989152,2.6851847489688287,2.4510362693309986,2.7213418361894917,2.0157445415878645,3.1294679466527056,2.9442206013120895,3.9765605204519154,2.7933933779002738,2.080235221576883,2.3246868640967446,2.0883203358730373,2.7026397686239694,3.2058745635253425,2.2970374543182697,2.947136171497787,1.7860575709972264,2.553879119193797,3.1352138421550606,2.043799857131254,2.657688101605026,2.9826400598965623,2.4902554542719164,1.6822090186310732,2.989898412438122,2.7498328249793866,2.169386578122005,2.236675022846148,2.9284570786384716
Polyclonal AIIMS_330 124-months,3.2508111822887518,2.5076008176178304,3.1528094563711058,3.0465566116768326,2.9675819702972817,3.2666551615107116,3.1721483944792004,2.822982528458187,3.2529331500355507,1.924398978080013,3.0600114778284793,2.9276778797252705,2.4095304902538275,1.9493790035261163,3.0581337859292326,2.2423876015348414,3.1949273310496595,2.439301171686206,1.9003497571236898,3.800256390580347,3.208364708732522,3.142928251620808,3.107225189009366,2.750114826210152,2.07069648582517,2.117481358958284,3.0841418110895438,2.2067423010995726,2.837576274057474,2.573179386063096,3.2453956562497677,2.6757691131770587,3.1374322496600024,2.760090779268193,2.651861947759377,2.756319455445146,2.582444217650706,3.0444596836282,2.869704468140733,2.6531074349715738,1.7663455781583166,2.7581503111507804,2.0683407931125712,2.6841487246540225,2.5450659373171707,2.644735443672344,1.988825325541358,3.186853529052268,2.975663015574529,4.231700941902875,2.6903580973607024,2.080529785777394,2.352225227718943,2.259506877120014,2.5821836007417076,3.2049539814586385,2.1028486099683503,2.9157368317834322,1.6958730625101095,2.378313390267058,3.0508262922867857,1.9758061395610438,2.6256778044414633,3.01195155636833,2.381857914567935,1.5625479206608204,2.9048528342722513,2.6730751987698484,2.216545949964658,2.4535468778558363,3.104676751120043
Polyclonal AIIMS_330 131-months,3.274894130030744,2.590846689930726,3.087436544479787,2.941310630778168,2.7901151470455945,3.2035458801568506,2.7238724558074816,2.581002790519628,2.984067698143421,1.6694836645049522,3.155002401454107,2.931468487047911,2.4588020479245443,2.0260656927716463,3.0502618181515526,2.4568195436692717,3.1555619703457136,2.6921890507941377,1.9255208535701631,3.7448597284080725,3.0918873782338157,2.9906097226213344,2.8120350872537685,2.6584567701874073,1.8538040099521707,2.057485269694521,2.960109737741954,3.1670660009433886,2.6578035008157626,2.4306140939925407,3.3020466547860634,2.363327363115296,3.062810139507638,2.2233237746290526,2.5446350371161612,2.869771357190115,2.640431901738957,2.39619317297609,2.901838116553191,3.1352809735773386,1.750023465055642,2.6349157435603727,2.0248955438047966,2.9511294525199485,2.5091710806446565,2.49964234255303,1.9973723639417875,2.9780908597346967,2.564290953014348,4.112797765066071,2.9069441174123645,1.7926566191520565,1.9402599941574088,1.9707999310710955,2.5393124334369688,3.013468175646566,2.588107879248075,2.7929459210018717,1.7992743559896776,2.2242242262299214,3.217878137163127,1.8577765910203743,2.5126062825714155,2.6761217645904916,2.471593667593561,1.5890042344682036,2.7808774630713087,2.9007695088174463,2.1865459895481902,2.5423273801580373,2.787917651666744
Polyclonal AIIMS_330 138-months,3.191583106829963,2.4072104167404227,3.1604531792736044,2.904112701104763,2.911824307462944,3.3124310853838095,3.162876204135169,2.729798542751455,3.229379322626227,1.9972389168060989,3.1973375700488154,2.9561940752782396,2.526875375714992,2.1849959240881,3.024052749935654,2.379438805560017,3.1993745290210915,2.4373151169396916,1.9868440896598167,3.648456440076747,2.94724422251375,2.90868924456465,2.9092281076619644,2.934416336216427,2.191659955764492,2.2020142225954773,2.9479810012401453,2.855308538929119,2.806642206806721,2.5084785660115037,3.419084318675618,2.5386443747717697,2.945530645385083,2.8584868692698633,2.6990214568942266,2.755403419010915,2.648315330246964,3.0513202704401916,2.9005164104597885,2.7905981108858473,1.7979253608543668,2.8516852282254934,2.172652741293593,2.8155755841931907,2.495828902285166,2.6909097702468845,2.0809507892828645,3.157911473694372,2.720516908809933,3.787310423615475,2.9632177731292355,2.200666210466035,2.4176989631758063,2.156698766203479,2.4855177592023883,3.2061640173959756,2.21490549537023,2.845033416397502,1.8236716760612752,2.2560400143466,3.1721096433161344,2.0327965376940083,2.6116428484005354,2.980053434576301,2.3149921131054034,1.7079044015264446,2.870262560735309,2.98935288813791,2.267934248340613,2.4259264145588952,3.069214819304576
Polyclonal AIIMS_330 78-months,2.7519581279519256,1.9038430951423753,2.9945642906928365,2.560515922905303,2.1539834207708317,2.712927233570565,2.687104267550904,2.7995875906062144,2.5078246888857567,1.3120984600487136,2.6529513591136418,2.5081012525552513,2.0586478470167453,1.5957124508505842,2.5279704992401895,1.5205805097683744,2.6196196900111017,1.742243235308231,1.552671220438168,3.017225610691856,2.392856413684565,2.796274554643981,2.495675302445232,2.743358175109009,1.4095632521298358,1.6204973531760296,2.37005556038049,1.424407614101313,2.2299945990189443,1.5010305830837258,2.5720211407484213,1.8638044752372318,2.493257009035492,2.0634954442576845,2.0361853110550125,2.2058066732055686,2.1983583726219873,1.601073773728952,2.4343838619462366,1.8191113990997259,1.6237571205526846,2.0823846876857823,1.6345677933303344,1.982581302171585,1.465211564119775,2.126016066841066,1.5370682061581484,2.885326496138287,2.066218476634771,3.173310313002819,1.89089560176673,1.6101983511081215,1.8626692050779357,1.4190162591691489,2.2851705674075697,2.451354349699219,1.6858608917211728,2.2383464387938825,1.0141964744192555,1.8284467878196344,2.5185458539383587,1.3468514491876418,2.273294372372355,2.4433450297715065,2.1220920906035214,1.2364822676711609,2.4722684818576224,1.8687926121607514,1.6292584172962512,1.417197838411506,2.7435921134399415
Polyclonal AIIMS_330 82-months,2.786307461484128,1.9364867499596428,3.0113626695576032,2.529865864277256,2.27747777470639,2.731601350953551,2.7778294242549304,2.8034492980513637,2.544656799119285,1.3158442422375207,2.727994529277436,2.517510216242079,2.140608298561059,1.5947339942117933,2.6306480341178347,1.4795639301607197,2.6081722012579895,1.7561781803803158,1.4025638706058943,3.1260212016655897,2.4395341121092864,2.8212080784318987,2.5223862585140244,2.803043215589896,1.4148872244925261,1.5739605582996241,2.4219734813990064,1.4259246833745354,2.388540857853214,1.6205554696810915,2.625614964055287,1.9570610728576732,2.465660119834866,2.155515137764349,2.1347673945562553,2.2223079589349277,2.2397510116231114,1.9271745032738978,2.46983827719548,1.7755695712882915,1.647161867771904,2.147536610827594,1.6825108387529966,2.1089860779199654,1.5070418018556686,2.0599232923928295,1.4806294834680989,2.9518008981313146,2.1173349722307595,3.2261505854344934,1.8872332274903565,1.5817512354856942,1.8875170241064405,1.4393496396918293,2.310142757153364,2.526044813130879,1.4736223598710807,2.3366767512364577,1.0157411168754125,1.8856384819408183,2.420483566995385,1.3782655768993797,2.3914899204181186,2.532677321816222,1.9919741582588817,1.2119597407617382,2.473016870393442,1.8957765820047083,1.708232433886364,1.4231735905688137,2.8252458879059468
Polyclonal AIIMS_330 90-months,2.8400704185668975,1.9029671765612137,3.015758580689109,2.581281991745473,2.419513967773936,2.742772452446105,2.766623951584462,2.845773713834716,2.7092625433395323,1.6415180100477014,2.838781487453221,2.6498514568302136,2.227761776976016,1.585634585354985,2.743235965944762,1.6507777952216938,2.433112806486151,2.0202758221357255,1.628293487382079,3.2531677289227288,2.5226818742029815,2.841860854633767,2.4780611124788257,2.820799621588889,1.435839356445817,1.7365942798834644,2.4451490755745935,1.4573199418883158,2.3672836419012686,2.1332976452503223,2.696766523811851,2.062047288568454,2.4670464415846016,2.2660807418386986,2.3200074405546527,2.2540992033738547,2.2781218528790887,2.422292544338762,2.493638310129081,2.0168201396409735,1.6847824448747466,2.378826403274368,1.7591678960993535,2.1573493063044276,1.930685387768602,2.312100105087433,1.6977210004407168,2.9287810127696323,2.165991413762974,3.2567589153987413,2.2024058246673017,1.9060440384090378,2.1215018013044533,1.4814791735807846,2.4448892119614696,2.532876234936057,1.4490873655899352,2.537176881267933,1.2150269088869934,2.1897433699434767,2.5187188916677163,1.6741881893639055,2.268110940755389,2.563738065381315,2.0733557170650316,1.2776017788340255,2.5172387590182987,2.340997108163798,1.8667852307522899,1.5028786650822217,2.8152447585744804
polyclonal BF520,2.227498837939235,1.7369035676865745,2.3768619745729676,2.3251710500243705,2.2282325988609992,2.283954908808607,2.37849991523897,1.9512514770820013,2.5856856208753736,1.7701372795366,2.3862653229659,1.9767002652631678,1.841237809343232,1.9291294924960574,2.3991332207470295,2.100625718859737,2.5306144928229393,2.201292663767746,1.8471890151187385,2.7848711116073597,2.3020981645006904,2.2786813902393717,2.2500065284715554,2.016701481626712,2.2294682741354004,1.7577408026631136,2.181003899042876,2.3577060635631057,2.109749848610595,2.071961146014475,2.10235397008074,2.1585420579770314,2.3932563564031666,2.154864913897379,2.1639739151145587,2.7842370098572102,1.8413097894294,2.1100318754988883,1.8241904161220823,2.441222182336963,1.9130751682357006,1.9229495687089344,1.6975052326320006,2.005561862538709,1.9875181626808762,2.1704043822674635,1.7232267695797883,2.241134316462856,1.8882719184495378,3.571177419826988,2.5215609174589098,1.7358850289276258,1.9760540979581556,1.7291821111946508,2.0929396842494654,2.3492482679220377,2.017218091122703,2.553999546883227,1.6633059069719816,1.9947735983184012,2.273528070763426,1.546691751818655,1.9881864234873137,2.09964179504783,2.002058137779649,1.4828804477460986,2.2514450589530384,2.0732541156380337,2.060110453099785,1.6974651314056597,2.735250069623171
polyclonal CAP206,1.715957410808006,1.5789105139783768,1.9637406626162812,1.619554920006732,1.7815986988268668,1.953521370935814,1.984739699951689,1.3249112457762262,1.9708454332207608,2.043000489722127,1.3664124132530524,1.1173747284835993,1.6968884044954797,2.748148540878012,2.09408125445488,1.9565406768101392,2.4584507350694285,2.1000886266169214,1.970511413079868,2.0106769035176137,1.7538304007468088,1.478767151965165,1.6263079619875334,1.340286975837008,1.3523893840237289,1.7986659130032125,1.569477501880897,3.544990246476071,1.9358527580161309,1.7541304989282551,1.6028113960463883,1.8459612439726063,2.5112436059737417,2.3241693993508212,2.0817918535532165,2.3497081001430473,1.3643200659625734,1.3069725862614605,1.2845938393996486,2.477353460190643,1.8991528718607669,1.3489241454061007,1.466787758992646,1.332615437568939,2.2806062373187315,1.9147827456284543,1.3401242776022202,1.3336671097896562,1.3698969654473876,2.262242703336703,2.327339177435571,1.4430201091895563,1.7678601795947382,1.3826324334664906,1.3484605465379715,2.4262778229838378,2.9882561931591107,2.0428694624620833,2.1074135822499427,1.4775153901046665,1.6344649812924306,1.3041868805074017,2.0174564240309314,1.564430129091115,1.839584437860256,2.2284504298185253,2.3278913811142727,1.3055633622724088,1.4184578027270005,1.3894940437913286,1.9478864100504119
